"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.40e+07 100 %,2.40e+07 100 %,1.26e+08 100 %,1.26e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.40e+07 100 %,,1.26e+08 100 %,,1.04e+06 100 %,
"main",2.40e+07 100 %,2.40e+07 100 %,1.26e+08 100 %,1.26e+08 100 %,1.04e+06 100 %,9.90e+05 95.4%
"loop at stream.c: 308",2.40e+07 100 %,,1.26e+08 100 %,,9.26e+05 89.3%,
"loop at stream.c: 335",1.20e+07 50.0%,1.20e+07 50.0%,6.59e+07 52.4%,6.59e+07 52.4%,2.40e+05 23.1%,2.40e+05 23.1%
"stream.c: 336",8.00e+06 33.3%,8.00e+06 33.3%,4.26e+07 33.9%,4.26e+07 33.9%,1.92e+05 18.5%,1.92e+05 18.5%
"stream.c: 335",4.00e+06 16.7%,4.00e+06 16.7%,2.32e+07 18.5%,2.32e+07 18.5%,4.79e+04  4.6%,4.79e+04  4.6%
"loop at stream.c: 345",6.00e+06 25.0%,6.00e+06 25.0%,3.03e+07 24.1%,3.03e+07 24.1%,2.40e+05 23.1%,2.40e+05 23.1%
"stream.c: 346",6.00e+06 25.0%,6.00e+06 25.0%,3.03e+07 24.1%,3.03e+07 24.1%,2.32e+05 22.3%,2.32e+05 22.3%
"stream.c: 345",,,,,8.00e+03  0.8%,8.00e+03  0.8%
"loop at stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.94e+07 15.5%,1.94e+07 15.5%,2.16e+05 20.8%,2.16e+05 20.8%
"stream.c: 315",2.00e+06  8.3%,2.00e+06  8.3%,9.61e+06  7.7%,9.61e+06  7.7%,9.58e+04  9.2%,9.58e+04  9.2%
"stream.c: 316",2.00e+06  8.3%,2.00e+06  8.3%,9.80e+06  7.8%,9.80e+06  7.8%,1.20e+05 11.6%,1.20e+05 11.6%
"loop at stream.c: 325",2.00e+06  8.3%,2.00e+06  8.3%,1.00e+07  8.0%,1.00e+07  8.0%,2.32e+05 22.3%,2.32e+05 22.3%
"stream.c: 326",2.00e+06  8.3%,2.00e+06  8.3%,1.00e+07  8.0%,1.00e+07  8.0%,2.00e+05 19.2%,2.00e+05 19.2%
"stream.c: 325",,,,,3.19e+04  3.1%,3.19e+04  3.1%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 463",,,,,1.58e+04  1.5%,1.58e+04  1.5%
"stream.c: 464",,,,,8.00e+03  0.8%,8.00e+03  0.8%
"stream.c: 465",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 466",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"loop at stream.c: 269",,,,,3.92e+04  3.8%,3.92e+04  3.8%
"stream.c: 269",,,,,1.53e+04  1.5%,1.53e+04  1.5%
"stream.c: 271",,,,,7.90e+03  0.8%,7.90e+03  0.8%
"stream.c: 272",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 289",,,,,2.39e+04  2.3%,2.39e+04  2.3%
