"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.60e+07 100 %,2.60e+07 100 %,1.30e+08 100 %,1.30e+08 100 %,1.05e+06 100 %,1.05e+06 100 %
"<program root>",2.60e+07 100 %,,1.30e+08 100 %,,1.05e+06 100 %,
"main",2.60e+07 100 %,2.60e+07 100 %,1.30e+08 100 %,1.30e+08 100 %,1.05e+06 100 %,1.00e+06 95.5%
"loop at stream.c: 308",2.60e+07 100 %,,1.30e+08 100 %,,9.26e+05 88.2%,
"loop at stream.c: 335",1.00e+07 38.5%,1.00e+07 38.5%,5.39e+07 41.6%,5.39e+07 41.6%,2.40e+05 22.8%,2.40e+05 22.8%
"stream.c: 336",1.00e+07 38.5%,1.00e+07 38.5%,5.39e+07 41.6%,5.39e+07 41.6%,1.92e+05 18.2%,1.92e+05 18.2%
"stream.c: 335",,,,,4.79e+04  4.6%,4.79e+04  4.6%
"loop at stream.c: 315",6.00e+06 23.1%,6.00e+06 23.1%,2.73e+07 21.1%,2.73e+07 21.1%,2.16e+05 20.5%,2.16e+05 20.5%
"stream.c: 316",6.00e+06 23.1%,6.00e+06 23.1%,2.73e+07 21.1%,2.73e+07 21.1%,1.28e+05 12.2%,1.28e+05 12.2%
"stream.c: 315",,,,,8.78e+04  8.4%,8.78e+04  8.4%
"loop at stream.c: 345",6.00e+06 23.1%,6.00e+06 23.1%,2.96e+07 22.9%,2.96e+07 22.9%,2.40e+05 22.8%,2.40e+05 22.8%
"stream.c: 346",4.00e+06 15.4%,4.00e+06 15.4%,1.96e+07 15.1%,1.96e+07 15.1%,2.08e+05 19.8%,2.08e+05 19.8%
"stream.c: 345",2.00e+06  7.7%,2.00e+06  7.7%,1.00e+07  7.8%,1.00e+07  7.8%,3.19e+04  3.0%,3.19e+04  3.0%
"loop at stream.c: 325",4.00e+06 15.4%,4.00e+06 15.4%,1.86e+07 14.4%,1.86e+07 14.4%,2.32e+05 22.0%,2.32e+05 22.0%
"stream.c: 326",4.00e+06 15.4%,4.00e+06 15.4%,1.86e+07 14.4%,1.86e+07 14.4%,1.84e+05 17.5%,1.84e+05 17.5%
"stream.c: 325",,,,,4.79e+04  4.6%,4.79e+04  4.6%
"checkSTREAMresults",,,,,4.77e+04  4.5%,4.77e+04  4.5%
"loop at stream.c: 463",,,,,4.77e+04  4.5%,4.77e+04  4.5%
"stream.c: 464",,,,,3.19e+04  3.0%,3.19e+04  3.0%
"stream.c: 465",,,,,1.57e+04  1.5%,1.57e+04  1.5%
"loop at stream.c: 269",,,,,5.29e+04  5.0%,5.29e+04  5.0%
"stream.c: 269",,,,,7.96e+03  0.8%,7.96e+03  0.8%
"stream.c: 270",,,,,2.90e+04  2.8%,2.90e+04  2.8%
"stream.c: 272",,,,,1.59e+04  1.5%,1.59e+04  1.5%
"loop at stream.c: 288",,,,,2.40e+04  2.3%,2.40e+04  2.3%
"stream.c: 289",,,,,2.40e+04  2.3%,2.40e+04  2.3%
