"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.40e+07 100 %,2.40e+07 100 %,1.22e+08 100 %,1.22e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.40e+07 100 %,,1.22e+08 100 %,,1.04e+06 100 %,
"main",2.40e+07 100 %,2.40e+07 100 %,1.22e+08 100 %,1.22e+08 100 %,1.04e+06 100 %,9.89e+05 95.4%
"loop at stream.c: 308",2.40e+07 100 %,,1.22e+08 100 %,,9.26e+05 89.3%,
"loop at stream.c: 335",1.20e+07 50.0%,1.20e+07 50.0%,6.42e+07 52.6%,6.42e+07 52.6%,2.31e+05 22.3%,2.31e+05 22.3%
"stream.c: 336",1.20e+07 50.0%,1.20e+07 50.0%,6.42e+07 52.6%,6.42e+07 52.6%,2.08e+05 20.0%,2.08e+05 20.0%
"stream.c: 335",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"loop at stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.81e+07 14.8%,1.81e+07 14.8%,2.00e+05 19.3%,2.00e+05 19.3%
"stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.81e+07 14.8%,1.81e+07 14.8%,1.04e+05 10.0%,1.04e+05 10.0%
"stream.c: 316",,,,,9.58e+04  9.2%,9.58e+04  9.2%
"loop at stream.c: 325",4.00e+06 16.7%,4.00e+06 16.7%,2.02e+07 16.6%,2.02e+07 16.6%,2.40e+05 23.1%,2.40e+05 23.1%
"stream.c: 325",2.00e+06  8.3%,2.00e+06  8.3%,1.05e+07  8.6%,1.05e+07  8.6%,4.79e+04  4.6%,4.79e+04  4.6%
"stream.c: 326",2.00e+06  8.3%,2.00e+06  8.3%,9.76e+06  8.0%,9.76e+06  8.0%,1.92e+05 18.5%,1.92e+05 18.5%
"loop at stream.c: 345",4.00e+06 16.7%,4.00e+06 16.7%,1.95e+07 16.0%,1.95e+07 16.0%,2.55e+05 24.6%,2.55e+05 24.6%
"stream.c: 346",4.00e+06 16.7%,4.00e+06 16.7%,1.95e+07 16.0%,1.95e+07 16.0%,2.40e+05 23.1%,2.40e+05 23.1%
"stream.c: 345",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 463",,,,,7.77e+03  0.7%,7.77e+03  0.7%
"stream.c: 464",,,,,3.99e+04  3.8%,3.99e+04  3.8%
"loop at stream.c: 269",,,,,3.89e+04  3.7%,3.89e+04  3.7%
"stream.c: 271",,,,,3.09e+04  3.0%,3.09e+04  3.0%
"stream.c: 272",,,,,7.93e+03  0.8%,7.93e+03  0.8%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 289",,,,,2.39e+04  2.3%,2.39e+04  2.3%
