"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.60e+07 100 %,2.60e+07 100 %,1.25e+08 100 %,1.25e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.60e+07 100 %,,1.25e+08 100 %,,1.04e+06 100 %,
"main",2.60e+07 100 %,2.60e+07 100 %,1.25e+08 100 %,1.25e+08 100 %,1.04e+06 100 %,9.95e+05 95.4%
"loop at stream.c: 308",2.60e+07 100 %,,1.25e+08 100 %,,9.26e+05 88.8%,
"loop at stream.c: 335",1.20e+07 46.2%,1.20e+07 46.2%,6.20e+07 49.6%,6.20e+07 49.6%,2.40e+05 23.0%,2.40e+05 23.0%
"stream.c: 336",1.00e+07 38.5%,1.00e+07 38.5%,5.21e+07 41.7%,5.21e+07 41.7%,2.16e+05 20.7%,2.16e+05 20.7%
"stream.c: 335",2.00e+06  7.7%,2.00e+06  7.7%,9.90e+06  7.9%,9.90e+06  7.9%,2.39e+04  2.3%,2.39e+04  2.3%
"loop at stream.c: 315",6.00e+06 23.1%,6.00e+06 23.1%,2.54e+07 20.3%,2.54e+07 20.3%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 315",4.00e+06 15.4%,4.00e+06 15.4%,1.71e+07 13.7%,1.71e+07 13.7%,1.36e+05 13.0%,1.36e+05 13.0%
"stream.c: 316",2.00e+06  7.7%,2.00e+06  7.7%,8.34e+06  6.7%,8.34e+06  6.7%,8.78e+04  8.4%,8.78e+04  8.4%
"loop at stream.c: 345",6.00e+06 23.1%,6.00e+06 23.1%,2.76e+07 22.1%,2.76e+07 22.1%,2.40e+05 23.0%,2.40e+05 23.0%
"stream.c: 346",6.00e+06 23.1%,6.00e+06 23.1%,2.76e+07 22.1%,2.76e+07 22.1%,2.16e+05 20.7%,2.16e+05 20.7%
"stream.c: 345",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"loop at stream.c: 325",2.00e+06  7.7%,2.00e+06  7.7%,9.90e+06  7.9%,9.90e+06  7.9%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 326",2.00e+06  7.7%,2.00e+06  7.7%,9.90e+06  7.9%,9.90e+06  7.9%,1.84e+05 17.6%,1.84e+05 17.6%
"stream.c: 325",,,,,3.99e+04  3.8%,3.99e+04  3.8%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 464",,,,,3.19e+04  3.1%,3.19e+04  3.1%
"stream.c: 465",,,,,7.97e+03  0.8%,7.97e+03  0.8%
"stream.c: 466",,,,,7.77e+03  0.7%,7.77e+03  0.7%
"loop at stream.c: 269",,,,,4.53e+04  4.3%,4.53e+04  4.3%
"stream.c: 269",,,,,7.95e+03  0.8%,7.95e+03  0.8%
"stream.c: 270",,,,,7.97e+03  0.8%,7.97e+03  0.8%
"stream.c: 272",,,,,2.94e+04  2.8%,2.94e+04  2.8%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 288",,,,,7.98e+03  0.8%,7.98e+03  0.8%
"stream.c: 289",,,,,1.60e+04  1.5%,1.60e+04  1.5%
