"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.40e+07 100 %,2.40e+07 100 %,1.22e+08 100 %,1.22e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.40e+07 100 %,,1.22e+08 100 %,,1.04e+06 100 %,
"main",2.40e+07 100 %,2.40e+07 100 %,1.22e+08 100 %,1.22e+08 100 %,1.04e+06 100 %,9.97e+05 95.4%
"loop at stream.c: 308",2.40e+07 100 %,,1.22e+08 100 %,,9.34e+05 89.4%,
"loop at stream.c: 335",1.20e+07 50.0%,1.20e+07 50.0%,6.40e+07 52.6%,6.40e+07 52.6%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 336",1.20e+07 50.0%,1.20e+07 50.0%,6.40e+07 52.6%,6.40e+07 52.6%,1.84e+05 17.6%,1.84e+05 17.6%
"stream.c: 335",,,,,3.99e+04  3.8%,3.99e+04  3.8%
"loop at stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.76e+07 14.5%,1.76e+07 14.5%,2.16e+05 20.6%,2.16e+05 20.6%
"stream.c: 316",4.00e+06 16.7%,4.00e+06 16.7%,1.76e+07 14.5%,1.76e+07 14.5%,8.79e+04  8.4%,8.79e+04  8.4%
"stream.c: 315",,,,,1.28e+05 12.2%,1.28e+05 12.2%
"loop at stream.c: 325",4.00e+06 16.7%,4.00e+06 16.7%,2.06e+07 16.9%,2.06e+07 16.9%,2.40e+05 22.9%,2.40e+05 22.9%
"stream.c: 326",4.00e+06 16.7%,4.00e+06 16.7%,2.06e+07 16.9%,2.06e+07 16.9%,2.00e+05 19.1%,2.00e+05 19.1%
"stream.c: 325",,,,,3.99e+04  3.8%,3.99e+04  3.8%
"loop at stream.c: 345",4.00e+06 16.7%,4.00e+06 16.7%,1.96e+07 16.1%,1.96e+07 16.1%,2.56e+05 24.5%,2.56e+05 24.5%
"stream.c: 346",4.00e+06 16.7%,4.00e+06 16.7%,1.96e+07 16.1%,1.96e+07 16.1%,2.48e+05 23.7%,2.48e+05 23.7%
"stream.c: 345",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 463",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"stream.c: 464",,,,,1.57e+04  1.5%,1.57e+04  1.5%
"stream.c: 465",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 466",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"loop at stream.c: 269",,,,,3.89e+04  3.7%,3.89e+04  3.7%
"stream.c: 271",,,,,2.29e+04  2.2%,2.29e+04  2.2%
"stream.c: 272",,,,,1.60e+04  1.5%,1.60e+04  1.5%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 288",,,,,7.98e+03  0.8%,7.98e+03  0.8%
"stream.c: 289",,,,,1.59e+04  1.5%,1.59e+04  1.5%
