"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.60e+07 100 %,2.60e+07 100 %,1.29e+08 100 %,1.29e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.60e+07 100 %,,1.29e+08 100 %,,1.04e+06 100 %,
"main",2.60e+07 100 %,2.60e+07 100 %,1.29e+08 100 %,1.29e+08 100 %,1.04e+06 100 %,9.95e+05 95.4%
"loop at stream.c: 308",2.60e+07 100 %,,1.29e+08 100 %,,9.34e+05 89.6%,
"loop at stream.c: 335",1.20e+07 46.2%,1.20e+07 46.2%,6.35e+07 49.1%,6.35e+07 49.1%,2.40e+05 23.0%,2.40e+05 23.0%
"stream.c: 335",6.00e+06 23.1%,6.00e+06 23.1%,3.31e+07 25.6%,3.31e+07 25.6%,1.60e+04  1.5%,1.60e+04  1.5%
"stream.c: 336",6.00e+06 23.1%,6.00e+06 23.1%,3.04e+07 23.5%,3.04e+07 23.5%,2.24e+05 21.4%,2.24e+05 21.4%
"loop at stream.c: 345",8.00e+06 30.8%,8.00e+06 30.8%,3.92e+07 30.3%,3.92e+07 30.3%,2.48e+05 23.7%,2.48e+05 23.7%
"stream.c: 346",8.00e+06 30.8%,8.00e+06 30.8%,3.92e+07 30.3%,3.92e+07 30.3%,2.16e+05 20.7%,2.16e+05 20.7%
"stream.c: 345",,,,,3.19e+04  3.1%,3.19e+04  3.1%
"loop at stream.c: 315",6.00e+06 23.1%,6.00e+06 23.1%,2.66e+07 20.6%,2.66e+07 20.6%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 315",4.00e+06 15.4%,4.00e+06 15.4%,1.82e+07 14.1%,1.82e+07 14.1%,9.58e+04  9.2%,9.58e+04  9.2%
"stream.c: 316",2.00e+06  7.7%,2.00e+06  7.7%,8.45e+06  6.5%,8.45e+06  6.5%,1.28e+05 12.2%,1.28e+05 12.2%
"loop at stream.c: 325",,,,,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 325",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 326",,,,,2.00e+05 19.1%,2.00e+05 19.1%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 464",,,,,1.57e+04  1.5%,1.57e+04  1.5%
"stream.c: 465",,,,,8.00e+03  0.8%,8.00e+03  0.8%
"stream.c: 466",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"loop at stream.c: 269",,,,,3.72e+04  3.6%,3.72e+04  3.6%
"stream.c: 269",,,,,7.86e+03  0.8%,7.86e+03  0.8%
"stream.c: 271",,,,,2.37e+04  2.3%,2.37e+04  2.3%
"stream.c: 272",,,,,5.61e+03  0.5%,5.61e+03  0.5%
"loop at stream.c: 288",,,,,2.38e+04  2.3%,2.38e+04  2.3%
"stream.c: 288",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"stream.c: 289",,,,,1.59e+04  1.5%,1.59e+04  1.5%
