"Scope","PAPI_L2_TCM.[0,0] (I)","PAPI_L2_TCM.[0,0] (E)","PAPI_L1_TCM (proxy).[0,0] (I)","PAPI_L1_TCM (proxy).[0,0] (E)","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.40e+07 100 %,2.40e+07 100 %,1.23e+08 100 %,1.23e+08 100 %,1.04e+06 100 %,1.04e+06 100 %
"<program root>",2.40e+07 100 %,,1.23e+08 100 %,,1.03e+06 99.2%,
"main",2.40e+07 100 %,2.40e+07 100 %,1.23e+08 100 %,1.23e+08 100 %,1.03e+06 99.2%,9.87e+05 94.7%
"loop at stream.c: 308",2.40e+07 100 %,,1.23e+08 100 %,,9.18e+05 88.1%,
"loop at stream.c: 335",1.20e+07 50.0%,1.20e+07 50.0%,6.49e+07 52.8%,6.49e+07 52.8%,2.32e+05 22.2%,2.32e+05 22.2%
"stream.c: 336",1.20e+07 50.0%,1.20e+07 50.0%,6.49e+07 52.8%,6.49e+07 52.8%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 335",,,,,7.95e+03  0.8%,7.95e+03  0.8%
"loop at stream.c: 345",8.00e+06 33.3%,8.00e+06 33.3%,4.01e+07 32.6%,4.01e+07 32.6%,2.48e+05 23.7%,2.48e+05 23.7%
"stream.c: 346",8.00e+06 33.3%,8.00e+06 33.3%,4.01e+07 32.6%,4.01e+07 32.6%,2.24e+05 21.5%,2.24e+05 21.5%
"stream.c: 345",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"loop at stream.c: 315",4.00e+06 16.7%,4.00e+06 16.7%,1.80e+07 14.6%,1.80e+07 14.6%,2.24e+05 21.4%,2.24e+05 21.4%
"stream.c: 316",4.00e+06 16.7%,4.00e+06 16.7%,1.80e+07 14.6%,1.80e+07 14.6%,1.20e+05 11.5%,1.20e+05 11.5%
"stream.c: 315",,,,,1.04e+05 10.0%,1.04e+05 10.0%
"loop at stream.c: 325",,,,,2.15e+05 20.7%,2.15e+05 20.7%
"stream.c: 325",,,,,5.59e+04  5.4%,5.59e+04  5.4%
"stream.c: 326",,,,,1.59e+05 15.3%,1.59e+05 15.3%
"checkSTREAMresults",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"loop at stream.c: 463",,,,,4.77e+04  4.6%,4.77e+04  4.6%
"stream.c: 464",,,,,2.37e+04  2.3%,2.37e+04  2.3%
"stream.c: 465",,,,,8.00e+03  0.8%,8.00e+03  0.8%
"stream.c: 466",,,,,1.59e+04  1.5%,1.59e+04  1.5%
"loop at stream.c: 269",,,,,4.50e+04  4.3%,4.50e+04  4.3%
"stream.c: 269",,,,,2.90e+04  2.8%,2.90e+04  2.8%
"stream.c: 270",,,,,7.92e+03  0.8%,7.92e+03  0.8%
"stream.c: 272",,,,,8.07e+03  0.8%,8.07e+03  0.8%
"loop at stream.c: 288",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"stream.c: 289",,,,,2.39e+04  2.3%,2.39e+04  2.3%
"<partial call paths>",,,,,7.99e+03  0.8%,
"<unknown procedure>",,,,,7.99e+03  0.8%,
"monitor_signal_handler",,,,,7.99e+03  0.8%,
"_pe_dispatch_timer",,,,,7.99e+03  0.8%,
"<unknown procedure>",,,,,7.99e+03  0.8%,7.99e+03  0.8%
"<unknown file>: 0",,,,,7.99e+03  0.8%,7.99e+03  0.8%
